ID,Title_Name,Year,Rating,Runtime,Genres,Release_Date,Release_Country,10,9,8,7,6,5,4,3,2,1,Rank_All_All_Ages,Rank_All_<18,Rank_All_18-29,Rank_All_30-44,Rank_All_45+,Rank_Male_All_Ages,Rank_Male_<18,Rank_Male_18-29,Rank_Male_30-44,Rank_Male_45+,Rank_Female_All_Ages,Rank_Female_<18,Rank_Female_18-29,Rank_Female_30-44,Rank_Female_45+,Count_All_All_Ages,Count_All_<18,Count_All_18-29,Count_All_30-44,Count_All_45+,Count_Male_All_Ages,Count_Male_<18,Count_Male_18-29,Count_Male_30-44,Count_Male_45+,Count_Female_All_Ages,Count_Female_<18,Count_Female_18-29,Count_Female_30-44,Count_Female_45+
0102926/,The Silence of the Lambs,1991,R,118,"Crime, Drama, Thriller",1991-02-14,USA,289126.0,406912.0,345621.0,131623.0,35069.0,12726.0,5639.0,3207.0,2526.0,5638.0,8.6,8.6,8.6,8.6,8.6,8.6,8.7,8.6,8.6,8.6,8.6,8.4,8.6,8.5,8.7,1238087.0,732.0,245531.0,470433.0,137916.0,728486.0,492.0,184423.0,380018.0,111277.0,176492.0,148.0,55893.0,83502.0,23909.0
0038650/,It's a Wonderful Life,1946,PG,130,"Drama, Family, Fantasy",1947-01-07,USA,130321.0,96499.0,82494.0,42455.0,16184.0,7711.0,3762.0,2318.0,1902.0,5634.0,8.6,8.8,8.7,8.5,8.7,8.6,8.9,8.7,8.6,8.6,8.6,8.2,8.6,8.5,8.7,389280.0,234.0,65162.0,140511.0,69544.0,224305.0,158.0,48170.0,109374.0,54426.0,63366.0,57.0,16006.0,29523.0,14011.0
0076759/,Star Wars: Episode IV - A New Hope,1977,PG,121,"Action, Adventure, Fantasy",1977-05-25,USA,384773.0,322365.0,274424.0,130084.0,43253.0,18341.0,7837.0,5011.0,4008.0,16672.0,8.6,8.6,8.5,8.6,8.8,8.6,8.6,8.5,8.6,8.8,8.4,8.6,8.3,8.4,8.7,1206768.0,1003.0,217820.0,460107.0,149878.0,753793.0,782.0,178979.0,395102.0,126875.0,121746.0,126.0,34631.0,58682.0,20391.0
0120815/,Saving Private Ryan,1998,R,169,"Drama, War",1998-07-24,USA,311381.0,376763.0,306649.0,129025.0,41373.0,16569.0,7941.0,5014.0,3850.0,8786.0,8.6,8.6,8.7,8.5,8.5,8.6,8.7,8.7,8.6,8.5,8.1,8.0,8.3,8.0,8.1,1207351.0,683.0,229816.0,477048.0,129735.0,776955.0,512.0,195209.0,414252.0,109894.0,111322.0,86.0,29916.0,56083.0,17438.0
0245429/,Spirited Away,2001,PG,125,"Animation, Adventure, Family",2003-03-28,USA,196769.0,179879.0,139684.0,62684.0,21982.0,9581.0,4868.0,2904.0,2535.0,8578.0,8.6,8.8,8.7,8.5,8.3,8.5,8.8,8.6,8.5,8.3,8.7,8.8,8.8,8.7,8.5,629464.0,614.0,160723.0,231258.0,42464.0,345763.0,397.0,108502.0,178473.0,34297.0,114144.0,138.0,48625.0,49375.0,7286.0
0120689/,The Green Mile,1999,R,189,"Crime, Drama, Fantasy",1999-12-10,USA,293714.0,347681.0,288190.0,118684.0,36387.0,13687.0,6507.0,3904.0,2551.0,5079.0,8.6,8.7,8.7,8.5,8.4,8.6,8.7,8.7,8.5,8.3,8.7,8.6,8.8,8.6,8.6,1116384.0,713.0,223523.0,440662.0,108795.0,667094.0,486.0,171975.0,356155.0,87025.0,155811.0,117.0,46439.0,77612.0,19615.0
6751668/,Parasite,2019,R,132,"Comedy, Drama, Thriller",2019-11-08,USA,120006.0,155212.0,124935.0,50306.0,14948.0,5649.0,2434.0,1684.0,1299.0,3957.0,8.6,9.0,8.8,8.4,8.1,8.5,9.0,8.8,8.4,8.1,8.5,8.5,8.7,8.4,8.2,480430.0,987.0,114901.0,139298.0,32066.0,253488.0,654.0,85591.0,113380.0,25962.0,57400.0,168.0,23492.0,22038.0,5040.0
0816692/,Interstellar,2014,PG-13,169,"Adventure, Drama, Sci-Fi",2014-11-07,USA,520545.0,396020.0,280849.0,143833.0,55443.0,23749.0,11891.0,7394.0,5485.0,12533.0,8.6,8.8,8.9,8.5,8.0,8.6,8.9,8.9,8.5,8.0,8.4,8.3,8.6,8.3,7.8,1457742.0,1478.0,369057.0,458974.0,93448.0,849626.0,1025.0,292286.0,382485.0,78532.0,165416.0,199.0,67182.0,67768.0,12667.0
0110413/,Léon: The Professional,1994,R,110,"Action, Crime, Drama",1994-11-18,USA,257431.0,315298.0,267708.0,112093.0,31861.0,11352.0,4931.0,2550.0,1875.0,5429.0,8.5,8.6,8.6,8.6,8.4,8.5,8.6,8.5,8.6,8.4,8.6,8.2,8.7,8.6,8.5,1010528.0,628.0,200436.0,417759.0,98846.0,632553.0,418.0,154509.0,351703.0,83738.0,123706.0,115.0,41367.0,60218.0,13220.0
0114814/,The Usual Suspects,1995,R,106,"Crime, Mystery, Thriller",1995-08-16,USA,245758.0,311199.0,248683.0,104057.0,32003.0,12261.0,5465.0,3054.0,2318.0,6575.0,8.5,8.4,8.5,8.6,8.5,8.6,8.4,8.6,8.6,8.5,8.4,7.9,8.3,8.4,8.5,971373.0,442.0,173548.0,404721.0,114470.0,629865.0,346.0,147265.0,349506.0,95506.0,96192.0,51.0,23500.0,50146.0,16884.0
0056058/,Harakiri,1962,Not Rated,133,"Action, Drama, Mystery",1964-08-04,USA,11149.0,11166.0,8672.0,3393.0,1088.0,552.0,206.0,169.0,162.0,1303.0,8.6,8.2,8.7,8.6,8.5,8.7,8.4,8.8,8.6,8.5,8.3,7.4,8.3,8.4,8.2,37860.0,62.0,7158.0,15931.0,5315.0,26759.0,43.0,6477.0,14580.0,4470.0,2656.0,17.0,580.0,1185.0,772.0
8503618/,Hamilton,2020,PG-13,160,"Biography, Drama, History",2020-07-03,USA,18347.0,9535.0,5582.0,2530.0,1065.0,642.0,370.0,297.0,367.0,1845.0,8.7,8.9,8.9,8.6,7.9,8.5,8.7,8.7,8.4,7.6,9.2,9.5,9.2,9.2,9.0,40580.0,102.0,7833.0,11359.0,4226.0,18286.0,62.0,5262.0,8238.0,2859.0,7398.0,31.0,2284.0,2894.0,1266.0
0110357/,The Lion King,1994,G,88,"Animation, Adventure, Drama",1994-06-24,USA,273235.0,238016.0,232826.0,109393.0,35867.0,14226.0,5731.0,3196.0,2090.0,5265.0,8.5,8.6,8.7,8.5,7.9,8.4,8.6,8.7,8.4,7.8,8.8,8.5,8.9,8.8,8.3,919845.0,963.0,229602.0,344466.0,63266.0,509702.0,629.0,159387.0,262770.0,49133.0,167882.0,201.0,65268.0,76893.0,12964.0
0088763/,Back to the Future,1985,PG,116,"Adventure, Comedy, Sci-Fi",1985-07-03,USA,265693.0,274507.0,283790.0,135072.0,41886.0,14676.0,5985.0,3046.0,1877.0,4294.0,8.5,8.7,8.5,8.6,8.4,8.5,8.7,8.5,8.6,8.4,8.4,8.5,8.3,8.4,8.3,1030826.0,984.0,191296.0,405308.0,112772.0,626742.0,725.0,149796.0,337514.0,93302.0,125367.0,139.0,37434.0,61680.0,17350.0
0253474/,The Pianist,2002,R,150,"Biography, Drama, Music",2003-03-28,USA,165097.0,229795.0,194225.0,74732.0,21478.0,8817.0,4601.0,2774.0,2161.0,6468.0,8.5,8.6,8.7,8.5,8.2,8.5,8.6,8.6,8.5,8.2,8.6,8.1,8.8,8.6,8.4,710148.0,457.0,159790.0,285111.0,60028.0,421096.0,315.0,117316.0,227679.0,48229.0,111094.0,73.0,39072.0,53541.0,10670.0
0103064/,Terminator 2: Judgment Day,1991,R,137,"Action, Sci-Fi",1991-07-03,USA,245511.0,269240.0,261525.0,125890.0,40694.0,15455.0,6706.0,3616.0,2514.0,6138.0,8.5,8.6,8.4,8.6,8.3,8.6,8.7,8.4,8.7,8.3,8.1,8.3,7.9,8.1,8.0,977289.0,551.0,155306.0,432490.0,108610.0,657750.0,429.0,137241.0,384046.0,93270.0,76624.0,63.0,15702.0,42756.0,13409.0
0120586/,American History X,1998,R,119,Drama,1998-11-20,USA,223963.0,332463.0,288667.0,113013.0,30964.0,10912.0,5090.0,2868.0,2220.0,6174.0,8.5,8.5,8.6,8.5,8.1,8.5,8.5,8.6,8.5,8.1,8.6,8.3,8.7,8.6,8.3,1016334.0,365.0,200998.0,454083.0,82667.0,653265.0,272.0,161997.0,379628.0,69026.0,123468.0,48.0,35311.0,68285.0,12141.0
0027977/,Modern Times,1936,G,87,"Comedy, Drama, Family",1936-02-25,USA,55364.0,59140.0,55034.0,23649.0,8108.0,3732.0,1848.0,1031.0,776.0,3360.0,8.5,8.2,8.6,8.5,8.5,8.5,8.2,8.6,8.5,8.5,8.5,8.2,8.4,8.5,8.4,212042.0,169.0,46191.0,78317.0,26757.0,134416.0,129.0,37481.0,66530.0,22676.0,23796.0,25.0,7924.0,10835.0,3612.0
0054215/,Psycho,1960,R,109,"Horror, Mystery, Thriller",1960-09-08,USA,141738.0,164301.0,159443.0,75659.0,24851.0,9835.0,4386.0,2411.0,1730.0,4539.0,8.5,8.6,8.6,8.5,8.5,8.5,8.7,8.6,8.5,8.5,8.4,8.0,8.5,8.4,8.4,588893.0,425.0,115982.0,222195.0,78507.0,348526.0,311.0,86284.0,178741.0,63926.0,86801.0,73.0,27489.0,40720.0,13316.0
0172495/,Gladiator,2000,R,155,"Action, Adventure, Drama",2000-05-05,USA,344412.0,388439.0,332956.0,149143.0,50297.0,20482.0,9366.0,5559.0,3734.0,7253.0,8.5,8.3,8.6,8.5,8.3,8.6,8.4,8.6,8.6,8.3,8.3,7.9,8.4,8.2,8.2,1311641.0,651.0,253141.0,535804.0,128486.0,828346.0,492.0,208806.0,451142.0,106745.0,145538.0,87.0,39318.0,76807.0,19315.0
0021749/,City Lights,1931,G,87,"Comedy, Drama, Romance",1931-03-07,USA,46227.0,42338.0,40003.0,18466.0,6518.0,3282.0,1830.0,946.0,780.0,2931.0,8.5,8.5,8.6,8.5,8.5,8.5,8.5,8.6,8.5,8.5,8.5,9.0,8.5,8.5,8.4,163321.0,133.0,34445.0,60870.0,22276.0,104399.0,106.0,28539.0,51829.0,18572.0,17999.0,15.0,5450.0,8364.0,3345.0
0407887/,The Departed,2006,R,151,"Crime, Drama, Thriller",2006-10-06,USA,267586.0,369661.0,319585.0,130372.0,39310.0,14563.0,6549.0,3800.0,2930.0,8413.0,8.5,8.5,8.7,8.5,8.1,8.5,8.6,8.7,8.5,8.1,8.3,7.9,8.4,8.3,8.2,1162769.0,599.0,241889.0,500478.0,95743.0,758775.0,459.0,202312.0,425349.0,79599.0,127032.0,71.0,35186.0,69028.0,14525.0
