ID,Rating,Runtime,Genres,Release_Date,Release_Country
0052618/,G,212,"Adventure, Drama, History",18 November 1959,Canada
0758758/,R,148,"Adventure, Biography, Drama",19 October 2007,USA
1201607/,PG-13,130,"Adventure, Drama, Fantasy",15 July 2011,USA
0091763/,R,120,"Drama, War",6 February 1987,USA
3315342/,R,137,"Action, Drama, Sci-Fi",3 March 2017,USA
0046268/,Not Rated,131,"Adventure, Drama, Thriller",16 February 1955,USA
0079470/,R,94,Comedy,17 August 1979,USA
1979320/,R,123,"Action, Biography, Drama",27 September 2013,USA
4016934/,Not Rated,145,"Drama, Romance, Thriller",1 June 2016,South Korea
0019254/,Passed,114,"Biography, Drama, History",25 October 1928,France
0053198/,Not Rated,99,"Crime, Drama",16 November 1959,USA
0048021/,Not Rated,118,"Crime, Drama, Thriller",5 June 1956,USA
0060107/,R,205,"Biography, Drama, History",October 1973,USA
0395169/,PG-13,121,"Biography, Drama, History",4 February 2005,USA
1895587/,R,129,"Biography, Crime, Drama",20 November 2015,USA
0245712/,R,154,"Drama, Thriller",13 April 2001,USA
0113247/,Not Rated,98,"Crime, Drama",23 February 1996,USA
0087544/,PG,117,"Animation, Adventure, Fantasy",25 November 1987,USA
0075148/,PG,120,"Drama, Sport",3 December 1976,USA
0405508/,Not Rated,167,"Comedy, Drama",26 January 2006,USA
1954470/,R,321,"Action, Crime, Drama",22 June 2012,India
0198781/,G,92,"Animation, Adventure, Comedy",2 November 2001,USA
0032976/,Approved,130,"Drama, Mystery, Romance",12 April 1940,USA
8613070/,R,122,"Drama, Romance",14 February 2020,USA
0381681/,R,80,"Drama, Romance",30 July 2004,USA
0118694/,PG,98,"Drama, Romance",9 March 2001,USA
0025316/,Approved,105,"Comedy, Romance",22 February 1934,USA
4430212/,Not Rated,163,"Crime, Drama, Mystery",31 July 2015,USA
0087884/,R,145,Drama,23 August 1984,UK
0018773/,Passed,72,"Comedy, Romance",29 January 1928,Canada
4857264/,,106,"Crime, Drama, Mystery",6 January 2017,Spain
1454029/,PG-13,146,Drama,10 August 2011,USA
0093779/,PG,98,"Adventure, Family, Fantasy",9 October 1987,USA
0058946/,Not Rated,121,"Drama, War",20 September 1967,USA
0088247/,R,107,"Action, Sci-Fi",26 October 1984,USA
10431500/,,132,Drama,11 October 2019,Turkey
0111495/,R,99,"Drama, Mystery, Romance",23 November 1994,USA
5323662/,Not Rated,130,"Animation, Drama, Family",17 September 2016,Japan
0103639/,G,90,"Animation, Adventure, Comedy",25 November 1992,USA
